Speaker,Gender,Word,Phoneme,Class,F1,F2,F3
alw001,F,heed,IY1,1,327.272,2963.795,3368.243
alw001,F,hid,IH1,2,474.694,2594.058,3326.727
alw001,F,head,EH1,3,742.428,2345.833,3132.978
cxb001,F,heed,IY1,1,352.846,2825.495,2854.773
cxb001,F,hid,IH1,2,360.387,2847.854,3265.437
cxb001,F,head,EH1,3,720.935,2316.559,3205.129
jah001,F,heed,IY1,1,403.688,2811.762,3478.782
jah001,F,hid,IH1,2,494.104,2736.016,3314.344
jah001,F,head,EH1,3,736.378,2388.829,3327.874
jep001,F,heed,IY1,1,469.031,2937.438,3024.144
jep001,F,hid,IH1,2,530.017,2475.268,2817.422
jep001,F,head,EH1,3,839.954,2477.471,2858.172
knb001,F,heed,IY1,1,406.38,2812.616,3264.203
knb001,F,hid,IH1,2,482.698,1295.341,3126.441
knb001,F,head,EH1,3,683.35,2041.365,3111.094
ajh001,M,heed,IY1,1,306.712,2481.383,2994.343
ajh001,M,hid,IH1,2,354.402,2228.072,2958.756
ajh001,M,head,EH1,3,509.006,2000.229,2771.551
apd001,M,heed,IY1,1,287.182,2205.573,2846.428
apd001,M,hid,IH1,2,350.269,2161.028,2744.015
apd001,M,head,EH1,3,1044.328,2577.454,3290.206
ars001,M,heed,IY1,1,380.178,2015.449,2693.134
ars001,M,hid,IH1,2,378.029,2008.155,2685.971
ars001,M,head,EH1,3,558.49,1808.501,2563.945
axm001,M,heed,IY1,1,276.82,2285.589,2971.721
axm001,M,hid,IH1,2,459.94,2018.401,2650.803
axm001,M,head,EH1,3,685.577,1903.15,2614.745
ikp001,M,heed,IY1,1,222.56,2422.502,3465.222
ikp001,M,hid,IH1,2,292.946,2335.048,3079.122
ikp001,M,head,EH1,3,568.19,2149.899,2729.663
cxc001,F,heed,IY1,1,340.412,2742.37,3146.996
cxc001,F,hid,IH1,2,545.824,2398.174,2870.417
cxc001,F,head,EH1,3,758.815,2186.851,2715.882
dmc001,F,heed,IY1,1,396.484,2799.47,3081.201
dmc001,F,hid,IH1,2,520.651,2407.22,3215.49
dmc001,F,head,EH1,3,769.883,2143.749,3222.59
ejr001,F,heed,IY1,1,355.915,2816.515,3060.475
ejr001,F,hid,IH1,2,448.946,2424.869,2988.541
ejr001,F,head,EH1,3,527.241,2296.377,2928.12
exc001,F,heed,IY1,1,271.331,2791.84,3226.437
exc001,F,hid,IH1,2,655.235,2453.657,3038.895
exc001,F,head,EH1,3,815.764,2190.836,2967.007
jmc003,F,heed,IY1,1,350.196,2679.138,3210.612
jmc003,F,hid,IH1,2,672.303,2205.141,3102.553
jmc003,F,head,EH1,3,847.545,1988.229,3036.418
acr001,M,heed,IY1,1,951.078,2412.864,3024.0129
acr001,M,hid,IH1,2,778.942,1799.782,2397.742
acr001,M,head,EH1,3,604.323,1835.992,2502.89
bxp001,M,heed,IY1,1,273.33,2458.504,2880.327
bxp001,M,hid,IH1,2,404.42,2206.317,2791.674
bxp001,M,head,EH1,3,612.057,2021.625,2531.031
cgm001,M,heed,IY1,1,766.28,2696.142,3189.463
cgm001,M,hid,IH1,2,677.994,2510.335,2645.788
cgm001,M,head,EH1,3,404.348,2255.909,2859.32
cxg001,M,heed,IY1,1,274.662,2272.079,3046.154
cxg001,M,hid,IH1,2,452.771,2027.955,2781.943
cxg001,M,head,EH1,3,643.018,1992.103,2703.67
ejd001,M,heed,IY1,1,866.467,2567.953,3385.536
ejd001,M,hid,IH1,2,1120.03,2467.681,3382.268
ejd001,M,head,EH1,3,503.146,2009.019,2802.312
ald001,F,heed,IY1,1,368.762,2701.393,3095.68
ald001,F,hid,IH1,2,443.362,2464.484,2803.336
ald001,F,head,EH1,3,655.065,2247.11,2862.143
cxb002,F,heed,IY1,1,403.453,2593.733,3165.715
cxb002,F,hid,IH1,2,517.027,2439.742,3110.611
cxb002,F,head,EH1,3,708.781,2347.241,3111.639
dab001,F,heed,IY1,1,410.489,2632.858,3193.102
dab001,F,hid,IH1,2,393.479,2397.229,2889.854
dab001,F,head,EH1,3,561.936,2266.404,2817.208
hjl001,F,heed,IY1,1,330.916,2755.824,3635.663
hjl001,F,hid,IH1,2,600.158,2903.25,3430.696
hjl001,F,head,EH1,3,731.048,2543.451,3326.039
jkb001,F,heed,IY1,1,381.275,2617.976,3280.392
jkb001,F,hid,IH1,2,412.684,2515.756,2985.954
jkb001,F,head,EH1,3,580.789,2288.454,2960.508
asp001,M,heed,IY1,1,368.067,2390.744,2725.957
asp001,M,hid,IH1,2,394.238,2232.7,2711.48
asp001,M,head,EH1,3,489.701,2101.682,2492.064
baj001,M,heed,IY1,1,388.991,2424.073,3000.895
baj001,M,hid,IH1,2,474.192,2324.95,2977.252
baj001,M,head,EH1,3,614.249,2103.649,2845.141
htl001,M,heed,IY1,1,257.775,2304.658,3062.917
htl001,M,hid,IH1,2,407.226,2084.22,2656.7
htl001,M,head,EH1,3,575.743,1896.983,2498.38
ifp001,M,heed,IY1,1,1070.918,2675.857,3425.0136
ifp001,M,hid,IH1,2,1984.129,3063.39,3783.183
ifp001,M,head,EH1,3,580.329,2010.32,2793.737
